,560 w,560 amp,610 w,610 amp,560/610,645 shoulder,645/610,865 shoulder,870 w,870 amp,865/870,1040 w,1425 w,1425 amp,3400 w,3400 amp
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
mean,566.510134920635,0.34548060051242985,603.5872349206352,0.33652108714433654,1.0265363733451873,0.06720323519430603,0.19817753348210035,0.06141751635302366,873.6338269841273,0.09760840363570548,0.6838658486246656,1042.267777777778,1421.1577619047619,0.29298502497458123,3432.48011111111,0.19471060977708363
std,1.8840842729216107,0.03355645249298618,0.4930985804595308,0.025281090447041236,0.057809794040271534,0.022426771943980576,0.057078999730904474,0.01736533804755464,1.736788839673663,0.04298079905772787,0.16799553564939276,1.862896257430859,2.3104723348567746,0.1388071883898919,10.136088529655055,0.05975374876952087
min,564.5587,0.2937582090765805,602.6459,0.286196542616461,0.9009001651197706,0.03490796119288272,0.1178499099329984,0.02463873852874078,865.8817,0.028603813518363438,0.3094175411502023,1038.962,1416.941,0.09099976764108417,3418.208,0.08704936877970983
25%,565.5229,0.32324864498115763,603.1281,0.3210089209435778,0.9759896353885318,0.05293360997643174,0.1599874452608822,0.04880473739261457,872.6313,0.06631743673337076,0.5707183657548602,1040.4080000000001,1420.0749999999998,0.20725359033683827,3423.752,0.164130169729437
50%,566.0051,0.33681302064347146,603.6102,0.3341614416541658,1.0280158948752331,0.06312453457906077,0.18708667779450305,0.060724034678701744,874.0777,0.09352438085987254,0.6935238556805468,1042.819,1420.316,0.2543916221263787,3431.225,0.190496389183186
75%,566.4872,0.36117802588178544,604.0923,0.34553571198145155,1.0768498731795808,0.07567106854485833,0.22479924421552044,0.0733530502680194,874.5598,0.11439724020554928,0.8170091660029947,1043.3010000000002,1422.245,0.3271757192193785,3441.8320000000003,0.23102980590347266
max,573.2368,0.4621389660738448,604.5744,0.42228171392273867,1.1233849407582284,0.14912747982594865,0.4033795367605896,0.10802268834798409,875.524,0.24228963383330815,0.9779370033767268,1046.193,1425.619,0.7678617856042769,3448.099,0.35165394898064095
